ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.233254	1	0.572784	1628970
0.314628	0.374226	0.369623	1051190
0.607447	0.340805	0.533066	1516010
1	0.602683	0.90786	2581910
0.13298	1	0.401275	1141210
0.263812	0.711953	0.501908	1427400
0.586392	1	0.899389	2557820
0.0516738	0.694153	0.155238	441491
0.0548303	0.106466	0.0358627	101992
0.146263	0.674904	0.327288	930792
0.392484	1	0.759558	2160150
1	1	1	2843950
1	1	1	2843950
0.0769231	1	0.274227	779888
1	0.215686	0.546534	1554320
1	0.025641	0.119579	340076
1	0.047619	0.192596	547735
0.526992	1	0.864567	2458790
0.600952	0.70617	0.788122	2241380
1	0.586791	0.899601	2558420
0.486166	0.501976	0.588245	1672940
1	1	1	2843950
1	0.688787	0.945583	2689190
1	0.652557	0.931105	2648020
0.62069	1	0.916711	2607080
1	0.677946	0.941455	2677450
0.40017	1	0.766672	2180380
0.312075	0.0766413	0.113206	321953
0.531734	0.0325077	0.087428	248641
0.428793	0.345752	0.431249	1226450
1	1	1	2843950
0.347067	0.642394	0.557561	1585680
0.275436	1	0.630583	1793350
0.00249024	0.340129	0.00683854	19448.5
0.121259	0.255418	0.138589	394139
1	0.595588	0.904225	2571570
0.194228	0.241952	0.190689	542311
0.594991	0.531837	0.680541	1935430
1	0.543047	0.874609	2487350
1	1	1	2843950
0.384535	0.537128	0.532315	1513880
1	0.432509	0.795017	2260990
0.57564	1	0.89355	2541220
0.0951544	1	0.318982	907169
0.22727	0.625511	0.419486	1193000
0.689771	0.180394	0.383745	1091350
1	0.032796	0.144875	412016
0.0680395	0.411154	0.128025	364097
0.306756	0.594761	0.492842	1401620
1	0.521116	0.860771	2447990
1	0.0581197	0.223485	635580
0.546661	1	0.876804	2493590
0.306451	1	0.66889	1902290
0.623303	1	0.917952	2610610
0.13212	0.0473856	0.0380234	108137
0.0653595	0.0473856	0.0209899	59694.4
0.171569	0.0473856	0.0472526	134384
0.163313	0.108875	0.0894305	254336
1	1	1	2843950
0.615851	1	0.914385	2600470
1	1	1	2843950
0.531566	0.522727	0.633703	1802220
0.260101	0.522727	0.407258	1158220
1	1	1	2843950
0.608392	1	0.910724	2590060
0.468531	1	0.82375	2342700
1	0.376518	0.744297	2116750
0.0215844	0.728237	0.0809965	230350
0.539032	0.728237	0.759613	2160300
0.357908	0.728237	0.611103	1737950
0.0506118	1	0.201616	573385
1	0.0736842	0.26585	756065
0.52322	1	0.862137	2451880
0.130397	1	0.396037	1126310
1	0.722024	0.957185	2722190
0.557569	0.711953	0.763722	2171990
1	1	1	2843950
0.488196	1	0.838252	2383950
0.0525692	1	0.207418	589888
0.558465	0.0678987	0.162002	460725
0.737054	0.139663	0.336984	958367
0.214802	0.744205	0.45295	1288170
0.56459	0.759812	0.792047	2252550
0.607866	0.320777	0.51376	1461110
1	0.646174	0.92835	2640180
0.570691	0.333038	0.505642	1438020
0.659276	0.637186	0.784421	2230860
1	0.637186	0.924362	2628840
1	0.0768637	0.274075	779455
1	1	1	2843950
0.391512	0.296859	0.366365	1041930
0.164556	1	0.461498	1312480
0.153846	0.546703	0.292331	831375
1	0.190392	0.50619	1439580
0.312192	0.682838	0.542669	1543330
0.681677	0.672769	0.816123	2321010
0.00289855	0.434783	0.00967417	27512.9
1	0.69985	0.949619	2700670
0.126437	0.4664	0.225898	642444
0.596296	0.725376	0.795042	2261060
0.464589	0.537736	0.596333	1695940
0.0838611	0.756901	0.238481	678229
0.0634794	0.756799	0.193879	551384
0.19091	0.745855	0.419936	1194280
0.65641	0.752149	0.84218	2395120
1	1	1	2843950
0.335913	1	0.702362	1997480
1	1	1	2843950
1	1	1	2843950
1	1	1	2843950
0.303999	1	0.66598	1894020
0.248322	1	0.594241	1689990
0.429409	0.556464	0.581008	1652360
0.109091	0.575758	0.236645	673008
