ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.372299	0.232949	0.298773	849696
0.462293	0.0896806	0.173424	493210
0.712959	0.0872317	0.234934	668140
0.0226522	0.0514964	0.0090448	25723
0.5203	0.699161	0.73163	2080720
1	1	1	2843950
0.2	0.314685	0.236997	674009
0.187937	0.302448	0.219833	625194
0.32598	1	0.691378	1966250
0.589744	0.569231	0.702129	1996820
1	1	1	2843950
0.522352	0.672984	0.719046	2044930
0.609046	1	0.911048	2590980
0.0330189	0.674307	0.106977	304238
0.163472	0.674307	0.353309	1004790
0.0835149	0.711702	0.22722	646203
0.592059	0.712611	0.786001	2235350
0.821709	1	0.983067	2795800
0.0739338	0.201556	0.0775829	220642
0.342634	1	0.709626	2018140
0.0150867	0.624355	0.0533611	151757
0.512661	1	0.855191	2432120
1	1	1	2843950
0.265999	0.626697	0.465354	1323440
1	0.264233	0.615907	1751610
0.542646	0.468107	0.602109	1712370
0.0714508	0.709144	0.201786	573870
0.0911832	0.695098	0.238224	677498
0.398183	1	0.764847	2175190
1	1	1	2843950
1	1	1	2843950
0.114901	1	0.363511	1033810
1	0.657696	0.933279	2654200
0.621028	1	0.916873	2607540
0.686504	0.0916752	0.236992	673995
1	0.108014	0.348399	990830
1	0.411664	0.777036	2209850
0.369861	1	0.737735	2098080
0.409479	0.787491	0.687414	1954970
1	0.835427	0.985647	2803130
0.479368	0.799651	0.750887	2135490
0.447444	1	0.80728	2295870
0.00773661	0.349357	0.018686	53142
0.0280365	1	0.128246	364725
0.0877723	0.511094	0.184114	523613
1	0.810413	0.980771	2789270
0.130605	0.248937	0.143905	409258
0.459804	0.831097	0.749748	2132250
0.228893	0.718561	0.461349	1312060
0.326017	1	0.691419	1966360
1	0.0207018	0.100974	287164
0.0524216	0.55766	0.132499	376821
0.226099	0.554696	0.385795	1097180
0.226479	1	0.562823	1600640
1	0.218421	0.550712	1566200
0.55241	0.642415	0.722524	2054820
0.301479	0.399862	0.375597	1068180
0.217079	0.400323	0.299201	850913
1	0.559441	0.884374	2515120
0.575758	1	0.893615	2541400
0.201357	0.637186	0.391754	1114130
0.262668	1	0.613819	1745670
0.32236	1	0.6873	1954650
0.206838	1	0.532777	1515190
1	1	1	2843950
0.267362	1	0.620053	1763400
0.158467	0.721336	0.362226	1030150
0.399029	0.721336	0.646294	1838030
0.40278	0.349887	0.417076	1186140
0.285578	0.232767	0.246679	701543
0.64264	1	0.926796	2635770
1	0.442146	0.802988	2283660
0.268175	0.567185	0.438546	1247210
0.216065	0.754009	0.458529	1304040
0.603231	1	0.908137	2582700
0.17814	1	0.485465	1380640
0.18185	1	0.491827	1398730
0.30649	0.571279	0.480179	1365610
1	1	1	2843950
1	0.62848	0.920378	2617510
0.654959	0.810595	0.86706	2465880
0.294514	0.16387	0.194549	553289
1	0.52057	0.860414	2446980
0.345962	0.727061	0.598697	1702670
1	0.445657	0.80584	2291770
0.313808	1	0.677504	1926790
0.114551	1	0.362753	1031650
1	0.156629	0.447	1271250
0.546865	0.0250672	0.0725138	206226
1	0.0238106	0.112806	320815
0.630045	0.00820403	0.0323837	92097.7
0.222266	0.0904897	0.0986815	280646
0.499039	0.0455649	0.108775	309350
0.105506	0.11591	0.0660859	187945
0.407476	0.75819	0.671828	1910650
0.47879	0.361786	0.476908	1356300
1	1	1	2843950
1	1	1	2843950
0.759206	0.767451	0.897381	2552110
0.335297	1	0.701689	1995570
1	0.124405	0.383692	1091200
1	0.132689	0.400688	1139540
0.515824	0.135095	0.255311	726092
0.273132	0.215152	0.225317	640792
1	0.0688957	0.253203	720097
1	0.32998	0.695837	1978930
1	1	1	2843950
0.0416109	0.253099	0.0584864	166332
0.20419	0.0815242	0.0848229	241232
0.471329	1	0.825862	2348710
1	1	1	2843950
0.626697	0.664061	0.781006	2221140
0.147585	1	0.429966	1222800
1	1	1	2843950
1	0.674585	0.94014	2673720
0.463547	1	0.819944	2331880
0.476182	1	0.829487	2359020
1	1	1	2843950
