ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.125	0.282051	0.153193	435673
0.626374	0.608392	0.748726	2129340
0.417018	0.646174	0.622821	1771270
0.10989	1	0.352558	1002660
0.272727	0.545455	0.432211	1229190
1	0.0893795	0.305219	868028
1	0.460069	0.817257	2324240
1	0.701494	0.950204	2702330
0.452664	0.682838	0.672007	1911160
1	1	1	2843950
0.0445378	1	0.183114	520766
0.552448	0.62704	0.713647	2029580
1	1	1	2843950
0.379239	0.41971	0.45169	1284590
1	0.569231	0.889975	2531050
0.329288	0.153435	0.201355	572643
0.342705	0.640405	0.552305	1570730
0.55648	0.640405	0.72407	2059220
1	1	1	2843950
0.238194	0.692449	0.462186	1314430
1	0.426987	0.790353	2247730
0.0443548	0.29066	0.0689877	196198
1	0.422289	0.78633	2236280
0.141407	0.282675	0.168666	479678
0.0800303	0.336415	0.124245	353347
0.304513	1	0.666592	1895760
0.251216	0.204334	0.20376	579483
1	1	1	2843950
0.602068	0.225091	0.406375	1155710
0.107304	0.728237	0.277345	788755
1	1	1	2843950
0.495286	0.485058	0.582853	1657610
1	0.712793	0.954119	2713470
1	0.719791	0.956454	2720110
1	0.471914	0.826302	2349960
0.349565	0.660761	0.569462	1619520
0.576552	0.754894	0.797294	2267470
0.532086	0.358723	0.506984	1441840
0.412663	0.137625	0.219694	624800
0.260675	0.124581	0.143777	408895
0.200872	1	0.523289	1488210
0.478954	1	0.831537	2364850
0.712239	1	0.953931	2712940
0.022977	0.300699	0.0412817	117403
0.343422	0.12253	0.175395	498815
0.277629	0.630475	0.480086	1365340
0.689803	0.732344	0.850133	2417740
0.429719	0.600032	0.607328	1727210
0.0466447	0.835771	0.165473	470596
1	0.110344	0.35356	1005510
0.279917	1	0.636324	1809680
0.0772224	0.0183741	0.0107238	30498.1
0.393387	0.146453	0.22204	631470
0.293408	0.633414	0.498599	1417990
0.239564	0.0131691	0.021323	60641.5
0.35314	0.0120763	0.0275384	78317.8
0.0311227	0.706124	0.105878	301112
0.186659	0.00537864	0.00793517	22567.2
0.247532	0.330579	0.286657	815238
0.610724	0.547675	0.700794	1993020
0.176498	0.787181	0.41316	1175010
0.0878788	0.0606061	0.0332084	94443
1	0.606467	0.909764	2587330
0.12782	0.606467	0.275751	784224
1	1	1	2843950
0.294767	1	0.654846	1862350
1	0.35436	0.721988	2053300
1	0.417284	0.781985	2223930
0.0217087	0.626697	0.072069	204961
1	0.651354	0.930591	2646560
1	0.61991	0.916339	2606020
1	1	1	2843950
1	1	1	2843950
0.287681	0.684273	0.516796	1469740
0.472464	1	0.826714	2351140
1	1	1	2843950
1	0.717095	0.955563	2717580
0.457228	0.717095	0.693496	1972270
1	1	1	2843950
0.551084	1	0.879457	2501130
0.163091	0.430086	0.256529	729556
1	0.148884	0.432446	1229860
0.605274	0.175281	0.344107	978623
0.399021	0.462882	0.496662	1412480
0.109195	0.228476	0.117032	332834
0.408184	0.610568	0.595497	1693560
0.434783	0.610568	0.617543	1756260
1	0.77718	0.973094	2767430
0.361819	1	0.729648	2075090
1	0.804072	0.979413	2785410
1	0.607588	0.910324	2588920
0.344734	0.760866	0.613322	1744260
1	0.053551	0.210301	598087
0.617302	0.167926	0.338622	963026
0.270175	0.651354	0.481725	1370000
1	0.356347	0.724044	2059150
1	0.445405	0.805636	2291190
0.271313	0.182132	0.198031	563190
0.163866	1	0.460251	1308930
0.146715	0.140867	0.10084	286784
0.163866	0.117647	0.095404	271324
0.576649	0.106466	0.232709	661814
1	0.0277827	0.127338	362142
1	0.210641	0.538736	1532140
0.00309991	0.121036	0.00333482	9484.07
0.130898	0.230733	0.135906	386510
0.0672759	0.131722	0.0507422	144308
1	0.257919	0.607428	1727500
1	1	1	2843950
1	0.776876	0.973017	2767220
0.156594	0.782661	0.379833	1080230
0.258402	0.781132	0.52485	1492650
0.730949	0.773817	0.887929	2525230
0.710729	0.524311	0.740492	2105920
0.0665503	1	0.246888	702139
1	1	1	2843950
0.665791	1	0.936621	2663710
0.409169	0.772725	0.680238	1934560
0.462345	1	0.819019	2329250
1	0.549231	0.87835	2497990
0.578077	1	0.894891	2545030
0.0450005	1	0.184551	524854
1	0.300699	0.662033	1882790
1	0.366516	0.734393	2088580
0.626697	1	0.919547	2615150
0.633893	0.31677	0.523171	1487870
0.147911	0.0237996	0.0234068	66567.8
